uid,occupation,variant,temp,model,modality,file,wrapper_strict,wrapper_rescued,schema_strict,schema_rescued,safety_strict,safety_rescued,rubric_score,iou,is_manual_stub,price_per_k,ctx_tokens,price_date,norm_schema,norm_rubric,norm_iou,norm_price,norm_safety,composite_score
f6d74921,"Elementary School Teachers, Except Special Education",2,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/f6d74921_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
9cebf902,Paralegals and Legal Assistants,2,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/9cebf902_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
dc35566b,Paralegals and Legal Assistants,0,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/dc35566b_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
2bc72355,"Elementary School Teachers, Except Special Education",1,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/2bc72355_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
faa67d8f,Business Intelligence Analysts,2,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/faa67d8f_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
bbf22c00,"Bookkeeping, Accounting, and Auditing Clerks",1,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/bbf22c00_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
0dd1e9ca,Business Intelligence Analysts,2,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/0dd1e9ca_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,2.0,,,0.0025,256000.0,,1.0,0.4,0.0,0.0,1.0,47.6923076923077
1b64c419,Medical Secretaries and Administrative Assistants,0,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/1b64c419_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,,0.0025,256000.0,,1.0,0.8,0.0,0.0,1.0,72.30769230769232
a79efa23,Customer Service Representatives,0,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/a79efa23_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,,0.0025,256000.0,,1.0,0.8,0.0,0.0,1.0,72.30769230769232
27910ee5,Logisticians,2,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/27910ee5_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
ab599408,Medical Secretaries and Administrative Assistants,1,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/ab599408_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,2.0,,,0.0025,256000.0,,1.0,0.4,0.0,0.0,1.0,47.6923076923077
f6d74921,"Elementary School Teachers, Except Special Education",0,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/f6d74921_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
0c07452f,"Elementary School Teachers, Except Special Education",1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/0c07452f_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
9652a31e,"Shipping, Receiving, and Inventory Clerks",1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/9652a31e_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
b4ec494d,Customer Service Representatives,0,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/b4ec494d_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,,0.0025,256000.0,,1.0,0.8,0.0,0.0,1.0,72.30769230769232
f260aa25,Business Intelligence Analysts,2,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/f260aa25_v2_t0_5.json,0.0,1.0,0.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,0.5,1.0,0.0,0.0,1.0,73.07692307692308
